name,brand,gender,category,size,price,composition,color,url,img_url,article_no,blob_url
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"79,90 kr.","Bomull 95%, Elastan 5%",Kornblå,https://www2.hm.com/sv_se/productpage.0326885008.html,"https://lp2.hm.com/hmprod?set=source[/environment/2016/6KT_0453_009R.jpg],width[3482],height[4072],x[828],y[697],type[FASHION_FRONT]&hmver=0&call=url[file:/product/main]+",0326885008,https://storage.googleapis.com/urbankiddo/H%26M/0326885008
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"79,90 kr.","Bomull 95%, Elastan 5%",Svart,https://www2.hm.com/sv_se/productpage.0326885010.html,"https://lp2.hm.com/hmgoepprod?set=source[/2f/da/2fda0b9cb4ba592d859df68b39ee48084601b7e6.jpg],origin[dam],category[kids_boy8y_trousers_pullon],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]+",0326885010,https://storage.googleapis.com/urbankiddo/H%26M/0326885010
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"79,90 kr.","Bomull 95%, Elastan 5%",Grön,https://www2.hm.com/sv_se/productpage.0326885015.html,"https://lp2.hm.com/hmprod?set=source[/environment/2016/6ST_0094_005R.jpg],width[3671],height[4293],x[881],y[659],type[FASHION_FRONT]&hmver=0&call=url[file:/product/main]+",0326885015,https://storage.googleapis.com/urbankiddo/H%26M/0326885015
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"39,90 kr.","Bomull 60%, Polyester 40%",Mörk gråmelerad,https://www2.hm.com/sv_se/productpage.0326885016.html,"https://lp2.hm.com/hmgoepprod?set=source[/6c/8b/6c8b93f77b6f6d55d88e4c0731d80e882a6e5e91.jpg],origin[dam],category[kids_boy8y_trousers_pullon],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0326885016,https://storage.googleapis.com/urbankiddo/H%26M/0326885016
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"79,90 kr.","Bomull 95%, Elastan 5%",Kornblå,https://www2.hm.com/sv_se/productpage.0326885019.html,"https://lp2.hm.com/hmprod?set=source[/environment/2016/6KT_0453_009R.jpg],width[3499],height[4092],x[836],y[677],type[FASHION_FRONT]&hmver=0&call=url[file:/product/main]+",0326885019,https://storage.googleapis.com/urbankiddo/H%26M/0326885019
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"79,90 kr.","Bomull 95%, Elastan 5%",Klarblå,https://www2.hm.com/sv_se/productpage.0326885021.html,"https://lp2.hm.com/hmprod?set=source[/environment/2017/8KZ_0399_003R.jpg],width[4106],height[4801],y[-1],type[FASHION_FRONT]&hmver=0&call=url[file:/product/main]+",0326885021,https://storage.googleapis.com/urbankiddo/H%26M/0326885021
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"79,90 kr.","Bomull 95%, Elastan 5%",Mörkblå,https://www2.hm.com/sv_se/productpage.0326885022.html,"https://lp2.hm.com/hmgoepprod?set=source[/da/e7/dae7a67ee9cd53be5c83987cc395ffe075d70dc1.jpg],origin[dam],category[kids_boy8y_trousers_pullon],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0326885022,https://storage.googleapis.com/urbankiddo/H%26M/0326885022
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"39,90 kr.",Bomull 100%,Khakigrön,https://www2.hm.com/sv_se/productpage.0326885026.html,"https://lp2.hm.com/hmgoepprod?set=source[/21/fa/21fadcb198d8b2783c66bd56ef56f1b6ccabb24c.jpg],origin[dam],category[kids_boy8y_trousers_pullon],type[DESCRIPTIVESTILLLIFE],hmver[2]&call=url[file:/product/main]+",0326885026,https://storage.googleapis.com/urbankiddo/H%26M/0326885026
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"29,90 kr.",Bomull 100%,Klarblå,https://www2.hm.com/sv_se/productpage.0326885027.html,"https://lp2.hm.com/hmgoepprod?set=source[/c5/9c/c59ce47b4ae0512d53849d0d1afcf377a36b9b0e.jpg],origin[dam],category[kids_boy8y_trousers_pullon],type[DESCRIPTIVESTILLLIFE],hmver[2]&call=url[file:/product/main]+",0326885027,https://storage.googleapis.com/urbankiddo/H%26M/0326885027
Trikåjoggers i bomull,H&M,boy,byxor,92-140,"29,90 kr.",Detalj: Polyester 100%,Grön,https://www2.hm.com/sv_se/productpage.0326885030.html,"https://lp2.hm.com/hmgoepprod?set=source[/3a/73/3a738e1959247c1e0cf8a8cd8781501e564b764f.jpg],origin[dam],category[kids_boy8y_trousers_pullon],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0326885030,https://storage.googleapis.com/urbankiddo/H%26M/0326885030
