name,brand,gender,category,size,price,color,url,img_url,article_no,blob_url
Mjukisshorts,NEWBIE BABY,boy,Shorts,56 ,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585208,https://www.kappahl.com/ProductImages/585208/585208_F.jpg?preset=ProductImageMagnified,585208,https://storage.googleapis.com/urbankiddo/kappah/585208
Mjukisshorts,NEWBIE BABY,boy,Shorts,62 ,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585208,https://www.kappahl.com/ProductImages/585208/585208_F.jpg?preset=ProductImageMagnified,585208,https://storage.googleapis.com/urbankiddo/kappah/585208
Mjukisshorts,NEWBIE BABY,boy,Shorts,68 ,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585208,https://www.kappahl.com/ProductImages/585208/585208_F.jpg?preset=ProductImageMagnified,585208,https://storage.googleapis.com/urbankiddo/kappah/585208
Mjukisshorts,NEWBIE BABY,boy,Shorts,74 ,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585208,https://www.kappahl.com/ProductImages/585208/585208_F.jpg?preset=ProductImageMagnified,585208,https://storage.googleapis.com/urbankiddo/kappah/585208
Mjukisshorts,NEWBIE BABY,boy,Shorts,80 ,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585208,https://www.kappahl.com/ProductImages/585208/585208_F.jpg?preset=ProductImageMagnified,585208,https://storage.googleapis.com/urbankiddo/kappah/585208
Mjukisshorts,NEWBIE BABY,boy,Shorts,86 ,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585208,https://www.kappahl.com/ProductImages/585208/585208_F.jpg?preset=ProductImageMagnified,585208,https://storage.googleapis.com/urbankiddo/kappah/585208
Hängselshorts,NEWBIE BABY,boy,Shorts,56 ,199:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/hangselshorts/583203,https://www.kappahl.com/ProductImages/583203/583203_F.jpg?preset=ProductImageMagnified,583203,https://storage.googleapis.com/urbankiddo/kappah/583203
Hängselshorts,NEWBIE BABY,boy,Shorts,62 ,199:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/hangselshorts/583203,https://www.kappahl.com/ProductImages/583203/583203_F.jpg?preset=ProductImageMagnified,583203,https://storage.googleapis.com/urbankiddo/kappah/583203
Hängselshorts,NEWBIE BABY,boy,Shorts,68 ,199:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/hangselshorts/583203,https://www.kappahl.com/ProductImages/583203/583203_F.jpg?preset=ProductImageMagnified,583203,https://storage.googleapis.com/urbankiddo/kappah/583203
Hängselshorts,NEWBIE BABY,boy,Shorts,74 ,199:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/hangselshorts/583203,https://www.kappahl.com/ProductImages/583203/583203_F.jpg?preset=ProductImageMagnified,583203,https://storage.googleapis.com/urbankiddo/kappah/583203
Hängselshorts,NEWBIE BABY,boy,Shorts,80 ,199:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/hangselshorts/583203,https://www.kappahl.com/ProductImages/583203/583203_F.jpg?preset=ProductImageMagnified,583203,https://storage.googleapis.com/urbankiddo/kappah/583203
Hängselshorts,NEWBIE BABY,boy,Shorts,86 ,199:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/hangselshorts/583203,https://www.kappahl.com/ProductImages/583203/583203_F.jpg?preset=ProductImageMagnified,583203,https://storage.googleapis.com/urbankiddo/kappah/583203
Mjukisshorts,NEWBIE BABY,boy,Shorts,56 ,99:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585190,https://www.kappahl.com/ProductImages/585190/585190_F.jpg?preset=ProductImageMagnified,585190,https://storage.googleapis.com/urbankiddo/kappah/585190
Mjukisshorts,NEWBIE BABY,boy,Shorts,62 ,99:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585190,https://www.kappahl.com/ProductImages/585190/585190_F.jpg?preset=ProductImageMagnified,585190,https://storage.googleapis.com/urbankiddo/kappah/585190
Mjukisshorts,NEWBIE BABY,boy,Shorts,68 ,99:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585190,https://www.kappahl.com/ProductImages/585190/585190_F.jpg?preset=ProductImageMagnified,585190,https://storage.googleapis.com/urbankiddo/kappah/585190
Mjukisshorts,NEWBIE BABY,boy,Shorts,74 ,99:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585190,https://www.kappahl.com/ProductImages/585190/585190_F.jpg?preset=ProductImageMagnified,585190,https://storage.googleapis.com/urbankiddo/kappah/585190
Mjukisshorts,NEWBIE BABY,boy,Shorts,80 ,99:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585190,https://www.kappahl.com/ProductImages/585190/585190_F.jpg?preset=ProductImageMagnified,585190,https://storage.googleapis.com/urbankiddo/kappah/585190
Mjukisshorts,NEWBIE BABY,boy,Shorts,86 ,99:-,Grå,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585190,https://www.kappahl.com/ProductImages/585190/585190_F.jpg?preset=ProductImageMagnified,585190,https://storage.googleapis.com/urbankiddo/kappah/585190
Shorts,DESIGN BY KAPPAHL,boy,Shorts,62 ,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/shorts-44-86/shorts/648832,https://www.kappahl.com/ProductImages/648832/648832_L.jpg?preset=ProductImageMagnified,648832,https://storage.googleapis.com/urbankiddo/kappah/648832
Shorts,DESIGN BY KAPPAHL,boy,Shorts,68 ,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/shorts-44-86/shorts/648832,https://www.kappahl.com/ProductImages/648832/648832_L.jpg?preset=ProductImageMagnified,648832,https://storage.googleapis.com/urbankiddo/kappah/648832
Shorts,DESIGN BY KAPPAHL,boy,Shorts,74 ,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/shorts-44-86/shorts/648832,https://www.kappahl.com/ProductImages/648832/648832_L.jpg?preset=ProductImageMagnified,648832,https://storage.googleapis.com/urbankiddo/kappah/648832
Shorts,DESIGN BY KAPPAHL,boy,Shorts,80  - Ej i lager,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/shorts-44-86/shorts/648832,https://www.kappahl.com/ProductImages/648832/648832_L.jpg?preset=ProductImageMagnified,648832,https://storage.googleapis.com/urbankiddo/kappah/648832
Shorts,DESIGN BY KAPPAHL,boy,Shorts,86  - Ej i lager,99:-,Grön,https://www.kappahl.com/sv-SE/barn/shorts/shorts-44-86/shorts/648832,https://www.kappahl.com/ProductImages/648832/648832_L.jpg?preset=ProductImageMagnified,648832,https://storage.googleapis.com/urbankiddo/kappah/648832
Mjukisshorts,NEWBIE BABY,boy,Shorts,56 ,"69,30:- 99:- -30%",Orange,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585216,https://www.kappahl.com/ProductImages/585216/585216_F.jpg?preset=ProductImageMagnified,585216,https://storage.googleapis.com/urbankiddo/kappah/585216
Mjukisshorts,NEWBIE BABY,boy,Shorts,62 ,"69,30:- 99:- -30%",Orange,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585216,https://www.kappahl.com/ProductImages/585216/585216_F.jpg?preset=ProductImageMagnified,585216,https://storage.googleapis.com/urbankiddo/kappah/585216
Mjukisshorts,NEWBIE BABY,boy,Shorts,68 ,"69,30:- 99:- -30%",Orange,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585216,https://www.kappahl.com/ProductImages/585216/585216_F.jpg?preset=ProductImageMagnified,585216,https://storage.googleapis.com/urbankiddo/kappah/585216
Mjukisshorts,NEWBIE BABY,boy,Shorts,74 ,"69,30:- 99:- -30%",Orange,https://www.kappahl.com/sv-SE/barn/shorts/mjukisshorts/585216,https://www.kappahl.com/ProductImages/585216/585216_F.jpg?preset=ProductImageMagnified,585216,https://storage.googleapis.com/urbankiddo/kappah/585216
