name,brand,gender,category,size,price,url,img_url,article_no
Perkins Row 2-strap Sandal Blue,Timberland,girl,skor,EU 22,449 SEK,https://www.afound.com/sv-se/produkter/perkins-row-2-strap-sandal-blue_q4c3cdo0,https://www.afound.com/globalassets/1/kids/shoes/394977_280ca249c31783d0b2085478951f8d1e.png?preset=w100h100,1630948
Perkins Row 2-strap Sandal Blue,Timberland,girl,skor,EU 23,449 SEK,https://www.afound.com/sv-se/produkter/perkins-row-2-strap-sandal-blue_q4c3cdo0,https://www.afound.com/globalassets/1/kids/shoes/394977_280ca249c31783d0b2085478951f8d1e.png?preset=w100h100,1630948
Perkins Row 2-strap Sandal Blue,Timberland,girl,skor,EU 24,449 SEK,https://www.afound.com/sv-se/produkter/perkins-row-2-strap-sandal-blue_q4c3cdo0,https://www.afound.com/globalassets/1/kids/shoes/394977_280ca249c31783d0b2085478951f8d1e.png?preset=w100h100,1630948
Perkins Row 2-strap Sandal Blue,Timberland,girl,skor,EU 25,449 SEK,https://www.afound.com/sv-se/produkter/perkins-row-2-strap-sandal-blue_q4c3cdo0,https://www.afound.com/globalassets/1/kids/shoes/394977_280ca249c31783d0b2085478951f8d1e.png?preset=w100h100,1630948
Perkins Row 2-strap Sandal Blue,Timberland,girl,skor,EU 26,449 SEK,https://www.afound.com/sv-se/produkter/perkins-row-2-strap-sandal-blue_q4c3cdo0,https://www.afound.com/globalassets/1/kids/shoes/394977_280ca249c31783d0b2085478951f8d1e.png?preset=w100h100,1630948
Perkins Row 2-strap Sandal Blue,Timberland,girl,skor,EU 27,449 SEK,https://www.afound.com/sv-se/produkter/perkins-row-2-strap-sandal-blue_q4c3cdo0,https://www.afound.com/globalassets/1/kids/shoes/394977_280ca249c31783d0b2085478951f8d1e.png?preset=w100h100,1630948
Perkins Row 2-strap Sandal Blue,Timberland,girl,skor,EU 28,449 SEK,https://www.afound.com/sv-se/produkter/perkins-row-2-strap-sandal-blue_q4c3cdo0,https://www.afound.com/globalassets/1/kids/shoes/394977_280ca249c31783d0b2085478951f8d1e.png?preset=w100h100,1630948
Perkins Row 2-strap Sandal Blue,Timberland,girl,skor,EU 29,449 SEK,https://www.afound.com/sv-se/produkter/perkins-row-2-strap-sandal-blue_q4c3cdo0,https://www.afound.com/globalassets/1/kids/shoes/394977_280ca249c31783d0b2085478951f8d1e.png?preset=w100h100,1630948
Perkins Row 2-strap Sandal Blue,Timberland,girl,skor,EU 30,449 SEK,https://www.afound.com/sv-se/produkter/perkins-row-2-strap-sandal-blue_q4c3cdo0,https://www.afound.com/globalassets/1/kids/shoes/394977_280ca249c31783d0b2085478951f8d1e.png?preset=w100h100,1630948
Girls Ultra Flex Bright Horizon Black,SKECHERS,girl,skor,EU 30 FÅ KVAR!,799 SEK,https://www.afound.com/sv-se/produkter/girls-ultra-flex-bright-horizon-black_2izf9393,https://www.afound.com/globalassets/1/kids/shoes/390157_b33ebc01a0144460cec92d5e545f4190.jpg?preset=w100h100,1615693
