name,brand,gender,category,size,price,color,url,img_url,article_no
"Set Body + Shorts, Grey/blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/set-body-shorts-p47642459-63292283,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image865/set_body__shorts-47642459-63292283-org.jpg,47642459
"Set Body + Shorts, Grey/blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/set-body-shorts-p47642459-63292283,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image865/set_body__shorts-47642459-63292283-org.jpg,47642459
"Set Body + Shorts, Grey/blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/set-body-shorts-p47642459-63292283,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image865/set_body__shorts-47642459-63292283-org.jpg,47642459
"Set Body + Shorts, Grey/blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/set-body-shorts-p47642459-63292283,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image865/set_body__shorts-47642459-63292283-org.jpg,47642459
"Set Body + Shorts, Grey/blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,86,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/set-body-shorts-p47642459-63292283,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image865/set_body__shorts-47642459-63292283-org.jpg,47642459
"Overall Sky, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,50,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/overall-sky-p46309438-62113321,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image930/overall_sky-46309438-62113321-org.jpg,46309438
"Overall Sky, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,56,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/overall-sky-p46309438-62113321,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image930/overall_sky-46309438-62113321-org.jpg,46309438
"Body Button, White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-button-p46309314-62113060,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image44/body_button-46309314-62113060-org.jpg,46309314
"Body Button, White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-button-p46309314-62113060,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image44/body_button-46309314-62113060-org.jpg,46309314
"Body Button, White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-button-p46309314-62113060,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image44/body_button-46309314-62113060-org.jpg,46309314
