name,brand,gender,category,size,price,url,img_url,article_no,blob_url
Leggings ,Ellos Kids,girl,byxor-shorts,134/140,74,https://www.ellos.se/ellos-kids/leggings/7007355-07,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7007355-07_Ff_M0028011&mw=1000, 7007355-07-07
Byxor,Ellos Kids,girl,byxor-shorts,74/80,59,https://www.ellos.se/ellos-kids/byxor/7006505-01,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7006505-01_Fs&mw=1000, 7006505-01-05
Byxor,Ellos Kids,girl,byxor-shorts,86/92,59,https://www.ellos.se/ellos-kids/byxor/7006505-01,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7006505-01_Fs&mw=1000, 7006505-01-05
Byxor,Ellos Kids,girl,byxor-shorts,98/104,59,https://www.ellos.se/ellos-kids/byxor/7006505-01,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7006505-01_Fs&mw=1000, 7006505-01-05
Byxor,Ellos Kids,girl,byxor-shorts,110/116,59,https://www.ellos.se/ellos-kids/byxor/7006505-01,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7006505-01_Fs&mw=1000, 7006505-01-05
Leggings ,Ellos Kids,girl,byxor-shorts,86/92,74,https://www.ellos.se/ellos-kids/leggings/7007355-01,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7007355-01_Ff_M0028013&mw=1000, 7007355-01-07
Leggings ,Ellos Kids,girl,byxor-shorts,98/104,74,https://www.ellos.se/ellos-kids/leggings/7007355-01,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7007355-01_Ff_M0028013&mw=1000, 7007355-01-07
Leggings ,Ellos Kids,girl,byxor-shorts,110/116,74,https://www.ellos.se/ellos-kids/leggings/7007355-01,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7007355-01_Ff_M0028013&mw=1000, 7007355-01-07
Leggings ,Ellos Kids,girl,byxor-shorts,122/128,74,https://www.ellos.se/ellos-kids/leggings/7007355-01,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7007355-01_Ff_M0028013&mw=1000, 7007355-01-07
Leggings ,Ellos Kids,girl,byxor-shorts,134/140,74,https://www.ellos.se/ellos-kids/leggings/7007355-01,https://assets.ellosgroup.com/i/ellos/b?%24eg%24&%24emz%24&%24ep%24&%24ez%24&n=ell_7007355-01_Ff_M0028013&mw=1000, 7007355-01-07
