name,brand,gender,category,size,price,color,composition,url,img_url,article_no,blob_url
Festklänning,bpc bonprix collection,girl,Dresses,"
Storlek164
	                ",139kr,vit/silver,"Yttermaterial: 100% polyester, Foder: 100% bomull, Applikation: 100% polyester",https://www.bonprix.se/produkt/festklaenning-vit-silver-910685/#image,https://image01.bonprix.se/assets/460x644/1544423533/18355595-SDFRmCBZ.jpg,91068581
Festklänning,bpc bonprix collection,girl,Dresses,"
Storlek170
	                ",139kr,vit/silver,"Yttermaterial: 100% polyester, Foder: 100% bomull, Applikation: 100% polyester",https://www.bonprix.se/produkt/festklaenning-vit-silver-910685/#image,https://image01.bonprix.se/assets/460x644/1544423533/18355595-SDFRmCBZ.jpg,91068581
Trikåklänning,bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",79kr,"midnattsblå, blommig",100% bomull,https://www.bonprix.se/produkt/trikaklaenning-midnattsbla-blommig-978283/#image,https://image01.bonprix.se/assets/460x644/1551418035/19065433-QkPbQDgi.jpg,97828381
Trikåklänning,bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",79kr,"midnattsblå, blommig",100% bomull,https://www.bonprix.se/produkt/trikaklaenning-midnattsbla-blommig-978283/#image,https://image01.bonprix.se/assets/460x644/1551418035/19065433-QkPbQDgi.jpg,97828381
Trikåklänning,bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",79kr,"midnattsblå, blommig",100% bomull,https://www.bonprix.se/produkt/trikaklaenning-midnattsbla-blommig-978283/#image,https://image01.bonprix.se/assets/460x644/1551418035/19065433-QkPbQDgi.jpg,97828381
Trikåklänning,bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",79kr,"midnattsblå, blommig",100% bomull,https://www.bonprix.se/produkt/trikaklaenning-midnattsbla-blommig-978283/#image,https://image01.bonprix.se/assets/460x644/1551418035/19065433-QkPbQDgi.jpg,97828381
Somrig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",129kr,svart/vit,100% bomull,https://www.bonprix.se/produkt/somrig-jumpsuit-svart-vit-953174/#image,https://image01.bonprix.se/assets/460x644/1522220640/18065980-mCGpEA7q.jpg,95317495
Somrig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",129kr,svart/vit,100% bomull,https://www.bonprix.se/produkt/somrig-jumpsuit-svart-vit-953174/#image,https://image01.bonprix.se/assets/460x644/1522220640/18065980-mCGpEA7q.jpg,95317495
Somrig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",129kr,svart/vit,100% bomull,https://www.bonprix.se/produkt/somrig-jumpsuit-svart-vit-953174/#image,https://image01.bonprix.se/assets/460x644/1522220640/18065980-mCGpEA7q.jpg,95317495
Somrig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",129kr,svart/vit,100% bomull,https://www.bonprix.se/produkt/somrig-jumpsuit-svart-vit-953174/#image,https://image01.bonprix.se/assets/460x644/1522220640/18065980-mCGpEA7q.jpg,95317495
Somrig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek176/182
	                ",129kr,svart/vit,100% bomull,https://www.bonprix.se/produkt/somrig-jumpsuit-svart-vit-953174/#image,https://image01.bonprix.se/assets/460x644/1522220640/18065980-mCGpEA7q.jpg,95317495
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek128
	                ",199kr,ullvit/jeansblå/mörkblå,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-ullvit-jeansbla-moerkbla-973864/#image,https://image01.bonprix.se/assets/460x644/1516623753/17274670-rEfoaMxv.jpg,97386495
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek134
	                ",199kr,ullvit/jeansblå/mörkblå,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-ullvit-jeansbla-moerkbla-973864/#image,https://image01.bonprix.se/assets/460x644/1516623753/17274670-rEfoaMxv.jpg,97386495
