article_no,gender,category,price,size,brand
13652,unisex,shorts,80,130,lager157
13652,unisex,shorts,80,150,lager157
13652,unisex,shorts,80,110,lager157
13652,unisex,shorts,80,160,lager157
13652,unisex,shorts,80,140,lager157
13652,unisex,shorts,80,120,lager157
13652,unisex,shorts,80,90,lager157
13652,unisex,shorts,80,100,lager157
13652,unisex,shorts,80,130,lager157
13652,unisex,shorts,80,150,lager157
13652,unisex,shorts,80,110,lager157
13652,unisex,shorts,80,160,lager157
13652,unisex,shorts,80,140,lager157
13652,unisex,shorts,80,120,lager157
13652,unisex,shorts,80,90,lager157
13652,unisex,shorts,80,100,lager157
13652,unisex,shorts,80,130,lager157
13652,unisex,shorts,80,150,lager157
13652,unisex,shorts,80,110,lager157
13652,unisex,shorts,80,160,lager157
13652,unisex,shorts,80,140,lager157
13652,unisex,shorts,80,120,lager157
13652,unisex,shorts,80,90,lager157
13652,unisex,shorts,80,100,lager157
13652,unisex,shorts,80,130,lager157
13652,unisex,shorts,80,150,lager157
13652,unisex,shorts,80,110,lager157
13652,unisex,shorts,80,160,lager157
13652,unisex,shorts,80,140,lager157
13652,unisex,shorts,80,120,lager157
10239,unisex,shorts,80,90,lager157
10239,unisex,shorts,80,100,lager157
10239,unisex,shorts,80,130,lager157
10239,unisex,shorts,80,150,lager157
10239,unisex,shorts,80,110,lager157
10239,unisex,shorts,80,160,lager157
10239,unisex,shorts,80,140,lager157
10239,unisex,shorts,80,120,lager157
10239,unisex,shorts,80,90,lager157
10239,unisex,shorts,80,100,lager157
10239,unisex,shorts,80,130,lager157
10239,unisex,shorts,80,150,lager157
10239,unisex,shorts,80,110,lager157
10239,unisex,shorts,80,160,lager157
10239,unisex,shorts,80,140,lager157
10239,unisex,shorts,80,120,lager157
10239,unisex,shorts,80,90,lager157
10239,unisex,shorts,80,100,lager157
10239,unisex,shorts,80,130,lager157
10239,unisex,shorts,80,150,lager157
10239,unisex,shorts,80,110,lager157
10239,unisex,shorts,80,160,lager157
10239,unisex,shorts,80,140,lager157
10239,unisex,shorts,80,120,lager157
10239,unisex,shorts,80,90,lager157
10239,unisex,shorts,80,100,lager157
10239,unisex,shorts,80,130,lager157
10239,unisex,shorts,80,150,lager157
10239,unisex,shorts,80,110,lager157
10239,unisex,shorts,80,160,lager157
10239,unisex,shorts,80,140,lager157
10239,unisex,shorts,80,120,lager157
11966,unisex,shorts,80,90,lager157
11966,unisex,shorts,80,100,lager157
11966,unisex,shorts,80,130,lager157
11966,unisex,shorts,80,150,lager157
11966,unisex,shorts,80,110,lager157
11966,unisex,shorts,80,160,lager157
11966,unisex,shorts,80,140,lager157
11966,unisex,shorts,80,120,lager157
11966,unisex,shorts,80,90,lager157
11966,unisex,shorts,80,100,lager157
11966,unisex,shorts,80,130,lager157
11966,unisex,shorts,80,150,lager157
11966,unisex,shorts,80,110,lager157
11966,unisex,shorts,80,160,lager157
11966,unisex,shorts,80,140,lager157
11966,unisex,shorts,80,120,lager157
11966,unisex,shorts,80,90,lager157
