article_no,gender,category,price,size,brand
636084,boy,Bodys &amp; set,129,86,DESIGN BY KAPPAHL
649236,boy,Bodys &amp; set,99,56,NEWBIE BABY
649236,boy,Bodys &amp; set,99,62,NEWBIE BABY
649236,boy,Bodys &amp; set,99,68,NEWBIE BABY
649236,boy,Bodys &amp; set,99,74,NEWBIE BABY
649236,boy,Bodys &amp; set,99,80,NEWBIE BABY
649236,boy,Bodys &amp; set,99,86,NEWBIE BABY
653709,boy,Bodys &amp; set,99,56,NEWBIE BABY
653709,boy,Bodys &amp; set,99,62,NEWBIE BABY
653709,boy,Bodys &amp; set,99,68,NEWBIE BABY
653709,boy,Bodys &amp; set,99,74,NEWBIE BABY
653709,boy,Bodys &amp; set,99,80,NEWBIE BABY
653709,boy,Bodys &amp; set,99,86,NEWBIE BABY
649228,boy,Bodys &amp; set,99,56,NEWBIE BABY
649228,boy,Bodys &amp; set,99,62,NEWBIE BABY
649228,boy,Bodys &amp; set,99,68,NEWBIE BABY
649228,boy,Bodys &amp; set,99,74,NEWBIE BABY
649228,boy,Bodys &amp; set,99,80,NEWBIE BABY
649228,boy,Bodys &amp; set,99,86,NEWBIE BABY
592717,boy,Bodys &amp; set,99,56,NEWBIE BABY
592717,boy,Bodys &amp; set,99,62,NEWBIE BABY
592717,boy,Bodys &amp; set,99,68,NEWBIE BABY
592717,boy,Bodys &amp; set,99,74,NEWBIE BABY
592717,boy,Bodys &amp; set,99,80,NEWBIE BABY
592717,boy,Bodys &amp; set,99,86,NEWBIE BABY
581587,boy,Bodys &amp; set,99,56,NEWBIE BABY
581587,boy,Bodys &amp; set,99,62,NEWBIE BABY
581587,boy,Bodys &amp; set,99,68,NEWBIE BABY
581587,boy,Bodys &amp; set,99,74,NEWBIE BABY
581587,boy,Bodys &amp; set,99,80,NEWBIE BABY
581587,boy,Bodys &amp; set,99,86,NEWBIE BABY
615567,boy,Bodys &amp; set,129,62,DESIGN BY KAPPAHL
615567,boy,Bodys &amp; set,129,68,DESIGN BY KAPPAHL
615567,boy,Bodys &amp; set,129,74,DESIGN BY KAPPAHL
615567,boy,Bodys &amp; set,129,80,DESIGN BY KAPPAHL
615567,boy,Bodys &amp; set,129,86,DESIGN BY KAPPAHL
611236,boy,Bodys &amp; set,179,56,NEWBIE BABY
611236,boy,Bodys &amp; set,179,62,NEWBIE BABY
611236,boy,Bodys &amp; set,179,68,NEWBIE BABY
611236,boy,Bodys &amp; set,179,74,NEWBIE BABY
611236,boy,Bodys &amp; set,179,80,NEWBIE BABY
611236,boy,Bodys &amp; set,179,86,NEWBIE BABY
584763,boy,Bodys &amp; set,129,56,NEWBIE BABY
584763,boy,Bodys &amp; set,129,62,NEWBIE BABY
584763,boy,Bodys &amp; set,129,68,NEWBIE BABY
584763,boy,Bodys &amp; set,129,74,NEWBIE BABY
584763,boy,Bodys &amp; set,129,80,NEWBIE BABY
584763,boy,Bodys &amp; set,129,86,NEWBIE BABY
596635,boy,Bodys &amp; set,99,56,NEWBIE BABY
596635,boy,Bodys &amp; set,99,62,NEWBIE BABY
596635,boy,Bodys &amp; set,99,68,NEWBIE BABY
596635,boy,Bodys &amp; set,99,74,NEWBIE BABY
596635,boy,Bodys &amp; set,99,80,NEWBIE BABY
596635,boy,Bodys &amp; set,99,86,NEWBIE BABY
597187,boy,Bodys &amp; set,99,56,NEWBIE BABY
597187,boy,Bodys &amp; set,99,62,NEWBIE BABY
597187,boy,Bodys &amp; set,99,68,NEWBIE BABY
597187,boy,Bodys &amp; set,99,74,NEWBIE BABY
597187,boy,Bodys &amp; set,99,80,NEWBIE BABY
597187,boy,Bodys &amp; set,99,86,NEWBIE BABY
611830,boy,Bodys &amp; set,99,56,NEWBIE BABY
611830,boy,Bodys &amp; set,99,62,NEWBIE BABY
611830,boy,Bodys &amp; set,99,68,NEWBIE BABY
611830,boy,Bodys &amp; set,99,74,NEWBIE BABY
611830,boy,Bodys &amp; set,99,80,NEWBIE BABY
611830,boy,Bodys &amp; set,99,86,NEWBIE BABY
609057,boy,Bodys &amp; set,99,56,NEWBIE BABY
609057,boy,Bodys &amp; set,99,62,NEWBIE BABY
609057,boy,Bodys &amp; set,99,68,NEWBIE BABY
609057,boy,Bodys &amp; set,99,74,NEWBIE BABY
609057,boy,Bodys &amp; set,99,80,NEWBIE BABY
609057,boy,Bodys &amp; set,99,86,NEWBIE BABY
688499,boy,Bodys &amp; set,99,56,NEWBIE BABY
688499,boy,Bodys &amp; set,99,62,NEWBIE BABY
688499,boy,Bodys &amp; set,99,68,NEWBIE BABY
688499,boy,Bodys &amp; set,99,74,NEWBIE BABY
688499,boy,Bodys &amp; set,99,80,NEWBIE BABY
688499,boy,Bodys &amp; set,99,86,NEWBIE BABY
694067,boy,Bodys &amp; set,99,44,NEWBIE BABY
694067,boy,Bodys &amp; set,99,50,NEWBIE BABY
694067,boy,Bodys &amp; set,99,56,NEWBIE BABY
694067,boy,Bodys &amp; set,99,62,NEWBIE BABY
694067,boy,Bodys &amp; set,99,68,NEWBIE BABY
694067,boy,Bodys &amp; set,99,74,NEWBIE BABY
574830,boy,Bodys &amp; set,99,44,NEWBIE BABY
574830,boy,Bodys &amp; set,99,50,NEWBIE BABY
574830,boy,Bodys &amp; set,99,56,NEWBIE BABY
574830,boy,Bodys &amp; set,99,62,NEWBIE BABY
574830,boy,Bodys &amp; set,99,68,NEWBIE BABY
574830,boy,Bodys &amp; set,99,74,NEWBIE BABY
534032,boy,Bodys &amp; set,279,44,NEWBIE BABY
534032,boy,Bodys &amp; set,279,50,NEWBIE BABY
534032,boy,Bodys &amp; set,279,56,NEWBIE BABY
534032,boy,Bodys &amp; set,279,62,NEWBIE BABY
534032,boy,Bodys &amp; set,279,68,NEWBIE BABY
558031,boy,Bodys &amp; set,249,50-56,NEWBIE BABY
558031,boy,Bodys &amp; set,249,62-68,NEWBIE BABY
558031,boy,Bodys &amp; set,249,74-80,NEWBIE BABY
558031,boy,Bodys &amp; set,249,86-92,NEWBIE BABY
558080,boy,Bodys &amp; set,249,50-56,NEWBIE BABY
558080,boy,Bodys &amp; set,249,62-68,NEWBIE BABY
558080,boy,Bodys &amp; set,249,74-80,NEWBIE BABY
558080,boy,Bodys &amp; set,249,86-92,NEWBIE BABY
138677,boy,Bodys &amp; set,249,50-56,NEWBIE BABY
138677,boy,Bodys &amp; set,249,62-68,NEWBIE BABY
138677,boy,Bodys &amp; set,249,74-80,NEWBIE BABY
138677,boy,Bodys &amp; set,249,86-92,NEWBIE BABY
557967,boy,Bodys &amp; set,199,50-56,DESIGN BY KAPPAHL
