article_no,gender,category,price,new_size,brand
 7006828-03-11,girl,byxor-shorts,59,104,Ellos Kids
 7006828-03-11,girl,byxor-shorts,59,116,Ellos Kids
 7006828-03-11,girl,byxor-shorts,59,128,Ellos Kids
 7006828-03-11,girl,byxor-shorts,59,140,Ellos Kids
 7004936-07-07,girl,byxor-shorts,89,92,Ellos Kids
 7004936-07-07,girl,byxor-shorts,89,104,Ellos Kids
 7004936-07-07,girl,byxor-shorts,89,116,Ellos Kids
 7004936-07-07,girl,byxor-shorts,89,128,Ellos Kids
 7004936-07-07,girl,byxor-shorts,89,140,Ellos Kids
 7006828-02-07,girl,byxor-shorts,59,92,Ellos Kids
 7006828-02-07,girl,byxor-shorts,59,104,Ellos Kids
 7006828-02-07,girl,byxor-shorts,59,116,Ellos Kids
 7006828-02-07,girl,byxor-shorts,59,128,Ellos Kids
 7006828-02-07,girl,byxor-shorts,59,140,Ellos Kids
 7006989-02-92,girl,byxor-shorts,107,92,Ellos Kids
 7006989-02-92,girl,byxor-shorts,107,98,Ellos Kids
 7006989-02-92,girl,byxor-shorts,107,104,Ellos Kids
 7006989-02-92,girl,byxor-shorts,107,110,Ellos Kids
 7006989-02-92,girl,byxor-shorts,107,116,Ellos Kids
 7006989-02-92,girl,byxor-shorts,107,122,Ellos Kids
 7006989-02-92,girl,byxor-shorts,107,128,Ellos Kids
 7006989-02-92,girl,byxor-shorts,107,134,Ellos Kids
 7006989-02-92,girl,byxor-shorts,107,140,Ellos Kids
 7007399-01-07,girl,byxor-shorts,112,92,Ellos Kids
 7007399-01-07,girl,byxor-shorts,112,104,Ellos Kids
 7007399-01-07,girl,byxor-shorts,112,116,Ellos Kids
 7007399-01-07,girl,byxor-shorts,112,128,Ellos Kids
 7007399-01-07,girl,byxor-shorts,112,140,Ellos Kids
 7005986-01-07,girl,byxor-shorts,59,92,Ellos Kids
 7005986-01-07,girl,byxor-shorts,59,104,Ellos Kids
 7005986-01-07,girl,byxor-shorts,59,116,Ellos Kids
 7005986-01-07,girl,byxor-shorts,59,128,Ellos Kids
 7005986-01-07,girl,byxor-shorts,59,140,Ellos Kids
 7004936-02-07,girl,byxor-shorts,74,92,Ellos Kids
 7004936-02-07,girl,byxor-shorts,74,104,Ellos Kids
 7004936-02-07,girl,byxor-shorts,74,116,Ellos Kids
 7004936-02-07,girl,byxor-shorts,74,128,Ellos Kids
 7004936-02-07,girl,byxor-shorts,74,140,Ellos Kids
 7005986-03-07,girl,byxor-shorts,59,92,Ellos Kids
 7005986-03-07,girl,byxor-shorts,59,104,Ellos Kids
 7005986-03-07,girl,byxor-shorts,59,116,Ellos Kids
 7005986-03-07,girl,byxor-shorts,59,128,Ellos Kids
 7005986-03-07,girl,byxor-shorts,59,140,Ellos Kids
 7006989-01-92,girl,byxor-shorts,107,92,Ellos Kids
 7006989-01-92,girl,byxor-shorts,107,98,Ellos Kids
 7006989-01-92,girl,byxor-shorts,107,104,Ellos Kids
 7006989-01-92,girl,byxor-shorts,107,110,Ellos Kids
 7006989-01-92,girl,byxor-shorts,107,116,Ellos Kids
 7006989-01-92,girl,byxor-shorts,107,122,Ellos Kids
 7006989-01-92,girl,byxor-shorts,107,128,Ellos Kids
 7006989-01-92,girl,byxor-shorts,107,134,Ellos Kids
 7006989-01-92,girl,byxor-shorts,107,140,Ellos Kids
 7002343-01-07,girl,byxor-shorts,149,92,Ellos Kids
 7002343-01-07,girl,byxor-shorts,149,104,Ellos Kids
 7002343-01-07,girl,byxor-shorts,149,116,Ellos Kids
 7002343-01-07,girl,byxor-shorts,149,128,Ellos Kids
 7007355-02-07,girl,byxor-shorts,74,92,Ellos Kids
 7007355-02-07,girl,byxor-shorts,74,104,Ellos Kids
 7007355-02-07,girl,byxor-shorts,74,116,Ellos Kids
 7007355-02-07,girl,byxor-shorts,74,128,Ellos Kids
 7007355-02-07,girl,byxor-shorts,74,140,Ellos Kids
 7008161-01-07,girl,byxor-shorts,74,92,Ellos Kids
 7008161-01-07,girl,byxor-shorts,74,104,Ellos Kids
 7008161-01-07,girl,byxor-shorts,74,116,Ellos Kids
 7008161-01-07,girl,byxor-shorts,74,128,Ellos Kids
 7008161-01-07,girl,byxor-shorts,74,140,Ellos Kids
 7004936-04-07,girl,byxor-shorts,74,92,Ellos Kids
 7004936-04-07,girl,byxor-shorts,74,104,Ellos Kids
 7004936-04-07,girl,byxor-shorts,74,116,Ellos Kids
 7004936-04-07,girl,byxor-shorts,74,128,Ellos Kids
 7004936-04-07,girl,byxor-shorts,74,140,Ellos Kids
 1067203-01-07,girl,byxor-shorts,65,92,Ellos Kids
 1067203-01-07,girl,byxor-shorts,65,104,Ellos Kids
 1067203-01-07,girl,byxor-shorts,65,116,Ellos Kids
 1067203-01-07,girl,byxor-shorts,65,128,Ellos Kids
 7004936-08-07,girl,byxor-shorts,89,92,Ellos Kids
 7004936-08-07,girl,byxor-shorts,89,104,Ellos Kids
 7004936-08-07,girl,byxor-shorts,89,116,Ellos Kids
 7004936-08-07,girl,byxor-shorts,89,128,Ellos Kids
 7004936-08-07,girl,byxor-shorts,89,140,Ellos Kids
 7004936-06-07,girl,byxor-shorts,89,92,Ellos Kids
 7004936-06-07,girl,byxor-shorts,89,104,Ellos Kids
 7004936-06-07,girl,byxor-shorts,89,116,Ellos Kids
 7004936-06-07,girl,byxor-shorts,89,128,Ellos Kids
 7004936-06-07,girl,byxor-shorts,89,140,Ellos Kids
 1044553-01-92,girl,byxor-shorts,97,92,Ellos Kids
 1044553-01-92,girl,byxor-shorts,97,98,Ellos Kids
 1044553-01-92,girl,byxor-shorts,97,104,Ellos Kids
 1044553-01-92,girl,byxor-shorts,97,110,Ellos Kids
 1044553-01-92,girl,byxor-shorts,97,116,Ellos Kids
 1044553-01-92,girl,byxor-shorts,97,122,Ellos Kids
 1044553-01-92,girl,byxor-shorts,97,128,Ellos Kids
 1044553-02-92,girl,byxor-shorts,97,92,Ellos Kids
 1044553-02-92,girl,byxor-shorts,97,98,Ellos Kids
 1044553-02-92,girl,byxor-shorts,97,104,Ellos Kids
 1044553-02-92,girl,byxor-shorts,97,110,Ellos Kids
 1044553-02-92,girl,byxor-shorts,97,116,Ellos Kids
 1044553-02-92,girl,byxor-shorts,97,122,Ellos Kids
 1044553-02-92,girl,byxor-shorts,97,128,Ellos Kids
 7002343-05-07,girl,byxor-shorts,149,92,Ellos Kids
 7002343-05-07,girl,byxor-shorts,149,104,Ellos Kids
 7002343-05-07,girl,byxor-shorts,149,116,Ellos Kids
 7002343-05-07,girl,byxor-shorts,149,128,Ellos Kids
 7007356-01-07,girl,byxor-shorts,97,92,Ellos Kids
 7007356-01-07,girl,byxor-shorts,97,104,Ellos Kids
 7007356-01-07,girl,byxor-shorts,97,116,Ellos Kids
 7007356-01-07,girl,byxor-shorts,97,128,Ellos Kids
 7007356-01-07,girl,byxor-shorts,97,140,Ellos Kids
 7007355-05-07,girl,byxor-shorts,74,92,Ellos Kids
 7007355-05-07,girl,byxor-shorts,74,104,Ellos Kids
 7007355-05-07,girl,byxor-shorts,74,116,Ellos Kids
 7007355-05-07,girl,byxor-shorts,74,128,Ellos Kids
 7007355-05-07,girl,byxor-shorts,74,140,Ellos Kids
 7006868-02-92,girl,byxor-shorts,134,92,Ellos Kids
 7006868-02-92,girl,byxor-shorts,134,98,Ellos Kids
 7006868-02-92,girl,byxor-shorts,134,104,Ellos Kids
 7006868-02-92,girl,byxor-shorts,134,110,Ellos Kids
 7006868-02-92,girl,byxor-shorts,134,116,Ellos Kids
 7006868-02-92,girl,byxor-shorts,134,122,Ellos Kids
 7006868-02-92,girl,byxor-shorts,134,128,Ellos Kids
 7004732-02-07,girl,byxor-shorts,97,92,Ellos Kids
 7004732-02-07,girl,byxor-shorts,97,104,Ellos Kids
 7004732-02-07,girl,byxor-shorts,97,116,Ellos Kids
 7004732-02-07,girl,byxor-shorts,97,128,Ellos Kids
 7004732-02-07,girl,byxor-shorts,97,140,Ellos Kids
 7004732-02-07,girl,byxor-shorts,97,152,Ellos Kids
 7004732-02-07,girl,byxor-shorts,97,164,Ellos Kids
 7000657-01-07,girl,byxor-shorts,74,92,Ellos Kids
 7000657-01-07,girl,byxor-shorts,74,104,Ellos Kids
 7000657-01-07,girl,byxor-shorts,74,116,Ellos Kids
 7000657-01-07,girl,byxor-shorts,74,128,Ellos Kids
 7000657-04-07,girl,byxor-shorts,74,92,Ellos Kids
 7000657-04-07,girl,byxor-shorts,74,104,Ellos Kids
 7000657-04-07,girl,byxor-shorts,74,116,Ellos Kids
 7000657-04-07,girl,byxor-shorts,74,128,Ellos Kids
 7001166-03-92,girl,byxor-shorts,149,92,Ellos Kids
 7001166-03-92,girl,byxor-shorts,149,98,Ellos Kids
 7001166-03-92,girl,byxor-shorts,149,104,Ellos Kids
 7001166-03-92,girl,byxor-shorts,149,110,Ellos Kids
 7001166-03-92,girl,byxor-shorts,149,116,Ellos Kids
 7001166-03-92,girl,byxor-shorts,149,122,Ellos Kids
 7001166-03-92,girl,byxor-shorts,149,128,Ellos Kids
 7001166-03-92,girl,byxor-shorts,149,134,Ellos Kids
 7001166-03-92,girl,byxor-shorts,149,140,Ellos Kids
 7001411-01-21,girl,byxor-shorts,74,116,Ellos Kids
 7001411-01-21,girl,byxor-shorts,74,128,Ellos Kids
 7001411-01-21,girl,byxor-shorts,74,140,Ellos Kids
 7001411-01-21,girl,byxor-shorts,74,152,Ellos Kids
 7001411-01-21,girl,byxor-shorts,74,164,Ellos Kids
 7001411-01-21,girl,byxor-shorts,74,170,Ellos Kids
 7003032-01-92,girl,byxor-shorts,125,92,Ellos Kids
 7003032-01-92,girl,byxor-shorts,125,98,Ellos Kids
 7003032-01-92,girl,byxor-shorts,125,104,Ellos Kids
 7003032-01-92,girl,byxor-shorts,125,110,Ellos Kids
 7003032-01-92,girl,byxor-shorts,125,116,Ellos Kids
 7003032-01-92,girl,byxor-shorts,125,122,Ellos Kids
 7003032-01-92,girl,byxor-shorts,125,128,Ellos Kids
 7003032-01-92,girl,byxor-shorts,125,134,Ellos Kids
 7003032-01-92,girl,byxor-shorts,125,140,Ellos Kids
 7004732-03-07,girl,byxor-shorts,97,92,Ellos Kids
 7004732-03-07,girl,byxor-shorts,97,104,Ellos Kids
 7004732-03-07,girl,byxor-shorts,97,116,Ellos Kids
 7004732-03-07,girl,byxor-shorts,97,128,Ellos Kids
 7004732-03-07,girl,byxor-shorts,97,140,Ellos Kids
 7004732-03-07,girl,byxor-shorts,97,152,Ellos Kids
 7004732-03-07,girl,byxor-shorts,97,164,Ellos Kids
 7006868-01-92,girl,byxor-shorts,134,92,Ellos Kids
 7006868-01-92,girl,byxor-shorts,134,98,Ellos Kids
 7006868-01-92,girl,byxor-shorts,134,104,Ellos Kids
 7006868-01-92,girl,byxor-shorts,134,110,Ellos Kids
 7006868-01-92,girl,byxor-shorts,134,116,Ellos Kids
 7006868-01-92,girl,byxor-shorts,134,122,Ellos Kids
 7006868-01-92,girl,byxor-shorts,134,128,Ellos Kids
 7006868-03-92,girl,byxor-shorts,134,92,Ellos Kids
 7006868-03-92,girl,byxor-shorts,134,98,Ellos Kids
 7006868-03-92,girl,byxor-shorts,134,104,Ellos Kids
 7006868-03-92,girl,byxor-shorts,134,110,Ellos Kids
 7006868-03-92,girl,byxor-shorts,134,116,Ellos Kids
 7006868-03-92,girl,byxor-shorts,134,122,Ellos Kids
 7006868-03-92,girl,byxor-shorts,134,128,Ellos Kids
 7007358-02-07,girl,byxor-shorts,134,92,Ellos Kids
 7007358-02-07,girl,byxor-shorts,134,104,Ellos Kids
 7007358-02-07,girl,byxor-shorts,134,116,Ellos Kids
 7007358-02-07,girl,byxor-shorts,134,128,Ellos Kids
 7007358-02-07,girl,byxor-shorts,134,140,Ellos Kids
 7006826-01-15,girl,byxor-shorts,59,92,Ellos Kids
 7006826-01-15,girl,byxor-shorts,59,104,Ellos Kids
 7006826-01-15,girl,byxor-shorts,59,116,Ellos Kids
 7006826-01-15,girl,byxor-shorts,59,128,Ellos Kids
 7006826-01-15,girl,byxor-shorts,59,140,Ellos Kids
 1042040-01-07,girl,byxor-shorts,59,92,Ellos Kids
 1042040-01-07,girl,byxor-shorts,59,104,Ellos Kids
 1042040-01-07,girl,byxor-shorts,59,116,Ellos Kids
 1042040-01-07,girl,byxor-shorts,59,128,Ellos Kids
 1042040-01-07,girl,byxor-shorts,59,140,Ellos Kids
 1065249-03-98,girl,byxor-shorts,89,92,Ellos Kids
 1065249-03-98,girl,byxor-shorts,89,98,Ellos Kids
 1065249-03-98,girl,byxor-shorts,89,104,Ellos Kids
 1065249-03-98,girl,byxor-shorts,89,110,Ellos Kids
 1065249-03-98,girl,byxor-shorts,89,116,Ellos Kids
 1065249-03-98,girl,byxor-shorts,89,122,Ellos Kids
 1065249-03-98,girl,byxor-shorts,89,128,Ellos Kids
 7004472-03-07,girl,byxor-shorts,69,92,Ellos Kids
 7004472-03-07,girl,byxor-shorts,69,104,Ellos Kids
 7004472-03-07,girl,byxor-shorts,69,116,Ellos Kids
