article_no,gender,category,price,size,brand
13166306,girl,ni-baby-dresses-skirts,130,74,nameit
13165752,girl,ni-baby-dresses-skirts,230,50,nameit
13165752,girl,ni-baby-dresses-skirts,230,56,nameit
13165752,girl,ni-baby-dresses-skirts,230,62,nameit
13165752,girl,ni-baby-dresses-skirts,230,68,nameit
13164606,girl,ni-baby-dresses-skirts,330,50,nameit
13164606,girl,ni-baby-dresses-skirts,330,56,nameit
13164606,girl,ni-baby-dresses-skirts,330,62,nameit
13164606,girl,ni-baby-dresses-skirts,330,68,nameit
13164606,girl,ni-baby-dresses-skirts,330,74,nameit
13164617,girl,ni-baby-dresses-skirts,350,56,nameit
13164617,girl,ni-baby-dresses-skirts,350,62,nameit
13164617,girl,ni-baby-dresses-skirts,350,74,nameit
13165753,girl,ni-baby-dresses-skirts,130,50,nameit
13165753,girl,ni-baby-dresses-skirts,130,56,nameit
13165753,girl,ni-baby-dresses-skirts,130,62,nameit
13165753,girl,ni-baby-dresses-skirts,130,68,nameit
13165753,girl,ni-baby-dresses-skirts,130,74,nameit
13166523,girl,ni-baby-dresses-skirts,130,50,nameit
13166523,girl,ni-baby-dresses-skirts,130,56,nameit
13166523,girl,ni-baby-dresses-skirts,130,62,nameit
13166523,girl,ni-baby-dresses-skirts,130,68,nameit
13166523,girl,ni-baby-dresses-skirts,130,74,nameit
13165632,girl,ni-baby-dresses-skirts,260,50,nameit
13165632,girl,ni-baby-dresses-skirts,260,62,nameit
13165632,girl,ni-baby-dresses-skirts,260,68,nameit
13165632,girl,ni-baby-dresses-skirts,260,74,nameit
13165752,girl,ni-baby-dresses-skirts,230,56,nameit
13165752,girl,ni-baby-dresses-skirts,230,62,nameit
13165752,girl,ni-baby-dresses-skirts,230,68,nameit
13164632,girl,ni-baby-dresses-skirts,280,50,nameit
13164632,girl,ni-baby-dresses-skirts,280,56,nameit
13164632,girl,ni-baby-dresses-skirts,280,62,nameit
13164632,girl,ni-baby-dresses-skirts,280,68,nameit
13165749,girl,ni-baby-dresses-skirts,150,50,nameit
13165749,girl,ni-baby-dresses-skirts,150,56,nameit
13165749,girl,ni-baby-dresses-skirts,150,62,nameit
13165749,girl,ni-baby-dresses-skirts,150,68,nameit
13166214,girl,ni-baby-dresses-skirts,130,50,nameit
13166214,girl,ni-baby-dresses-skirts,130,56,nameit
13166214,girl,ni-baby-dresses-skirts,130,62,nameit
13166214,girl,ni-baby-dresses-skirts,130,68,nameit
13164540,girl,ni-baby-dresses-skirts,250,50,nameit
13164540,girl,ni-baby-dresses-skirts,250,56,nameit
13164540,girl,ni-baby-dresses-skirts,250,62,nameit
13164540,girl,ni-baby-dresses-skirts,250,68,nameit
13164540,girl,ni-baby-dresses-skirts,250,74,nameit
13164540,girl,ni-baby-dresses-skirts,250,86,nameit
13164622,girl,ni-baby-dresses-skirts,280,56,nameit
13164622,girl,ni-baby-dresses-skirts,280,62,nameit
13164622,girl,ni-baby-dresses-skirts,280,68,nameit
13166523,girl,ni-baby-dresses-skirts,130,50,nameit
13166523,girl,ni-baby-dresses-skirts,130,56,nameit
13166523,girl,ni-baby-dresses-skirts,130,62,nameit
13166523,girl,ni-baby-dresses-skirts,130,68,nameit
13166523,girl,ni-baby-dresses-skirts,130,74,nameit
13164632,girl,ni-baby-dresses-skirts,280,50,nameit
13164632,girl,ni-baby-dresses-skirts,280,62,nameit
13164632,girl,ni-baby-dresses-skirts,280,68,nameit
13165749,girl,ni-baby-dresses-skirts,150,50,nameit
13165749,girl,ni-baby-dresses-skirts,150,56,nameit
13165749,girl,ni-baby-dresses-skirts,150,62,nameit
13164620,girl,ni-baby-dresses-skirts,280,50,nameit
13164620,girl,ni-baby-dresses-skirts,280,56,nameit
13164620,girl,ni-baby-dresses-skirts,280,62,nameit
13166523,girl,ni-baby-dresses-skirts,130,50,nameit
13166523,girl,ni-baby-dresses-skirts,130,56,nameit
