article_no,gender,category,price,size,brand
Artikel 1221372,unisex,shoe,(Kommer,19,kavat
Artikel 1221372,unisex,shoe,(Kommer,20,kavat
Artikel 1221372,unisex,shoe,(Kommer,21,kavat
Artikel 1221372,unisex,shoe,(Kommer,22,kavat
Artikel 1221372,unisex,shoe,(Kommer,23,kavat
Artikel 1221372,unisex,shoe,(Kommer,24,kavat
Artikel 1221372,unisex,shoe,(Kommer,25,kavat
Artikel 1221372,unisex,shoe,(Kommer,19,kavat
Artikel 1221372,unisex,shoe,(Kommer,20,kavat
Artikel 1221372,unisex,shoe,(Kommer,21,kavat
Artikel 1221372,unisex,shoe,(Kommer,22,kavat
Artikel 1221372,unisex,shoe,(Kommer,23,kavat
Artikel 1221372,unisex,shoe,(Kommer,24,kavat
Artikel 1221372,unisex,shoe,(Kommer,25,kavat
Artikel 1221372,unisex,shoe,(Kommer,19,kavat
Artikel 1221372,unisex,shoe,(Kommer,20,kavat
Artikel 1221372,unisex,shoe,(Kommer,21,kavat
Artikel 1221372,unisex,shoe,(Kommer,22,kavat
Artikel 1221372,unisex,shoe,(Kommer,23,kavat
Artikel 1221372,unisex,shoe,(Kommer,24,kavat
Artikel 1221372,unisex,shoe,(Kommer,25,kavat
Artikel 1033371,unisex,shoe,200,19,kavat
Artikel 1033371,unisex,shoe,200,20,kavat
Artikel 1033371,unisex,shoe,200,21,kavat
Artikel 1033371,unisex,shoe,200,22,kavat
Artikel 1033371,unisex,shoe,200,23,kavat
Artikel 1033371,unisex,shoe,200,24,kavat
Artikel 1033371,unisex,shoe,400,19,kavat
Artikel 1033371,unisex,shoe,400,20,kavat
Artikel 1033371,unisex,shoe,400,21,kavat
Artikel 1033371,unisex,shoe,400,22,kavat
Artikel 1033371,unisex,shoe,400,23,kavat
Artikel 1033371,unisex,shoe,400,24,kavat
Artikel 1033371,unisex,shoe,200,19,kavat
Artikel 1033371,unisex,shoe,200,20,kavat
Artikel 1033371,unisex,shoe,200,21,kavat
Artikel 1033371,unisex,shoe,200,22,kavat
Artikel 1033371,unisex,shoe,200,23,kavat
Artikel 1033371,unisex,shoe,200,24,kavat
Artikel 1341371,unisex,shoe,240,22,kavat
Artikel 1341371,unisex,shoe,240,23,kavat
Artikel 1341371,unisex,shoe,240,24,kavat
Artikel 1341371,unisex,shoe,240,25,kavat
Artikel 1341371,unisex,shoe,240,26,kavat
Artikel 1341371,unisex,shoe,240,27,kavat
Artikel 1341371,unisex,shoe,240,22,kavat
Artikel 1341371,unisex,shoe,240,23,kavat
