article_no,gender,category,price,size,brand
60290286,unisex,"Underkläder & Nattplagg
(292)",99,40-42,polarnopyret
60420171,unisex,"Underkläder & Nattplagg
(292)",99,40-42,polarnopyret
60420261,unisex,"Underkläder & Nattplagg
(292)",149,146-152,polarnopyret
60420065,unisex,"Underkläder & Nattplagg
(292)",99,110-116,polarnopyret
60420060,unisex,"Underkläder & Nattplagg
(292)",99,110-116,polarnopyret
60404107,unisex,"Underkläder & Nattplagg
(292)",99,28-30,polarnopyret
60290284,unisex,"Underkläder & Nattplagg
(292)",99,22-24,polarnopyret
60420414,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60420415,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60404930,unisex,"Underkläder & Nattplagg
(292)",79,110-116,polarnopyret
60420230,unisex,"Underkläder & Nattplagg
(292)",99,28-30,polarnopyret
60392418,unisex,"Underkläder & Nattplagg
(292)",499,110-116,polarnopyret
60420413,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60381260,unisex,"Underkläder & Nattplagg
(292)",99,22-24,polarnopyret
60420210,unisex,"Underkläder & Nattplagg
(292)",149,122-128,polarnopyret
60420085,unisex,"Underkläder & Nattplagg
(292)",99,110-116,polarnopyret
60420082,unisex,"Underkläder & Nattplagg
(292)",79,146-152,polarnopyret
60361192,unisex,"Underkläder & Nattplagg
(292)",99,22-24,polarnopyret
60390453,unisex,"Underkläder & Nattplagg
(292)",79,146-152,polarnopyret
60420261,unisex,"Underkläder & Nattplagg
(292)",149,146-152,polarnopyret
60420052,unisex,"Underkläder & Nattplagg
(292)",99,146-152,polarnopyret
60419884,unisex,"Underkläder & Nattplagg
(292)",299,110-116,polarnopyret
60420167,unisex,"Underkläder & Nattplagg
(292)",99,28-30,polarnopyret
60381475,unisex,"Underkläder & Nattplagg
(292)",99,28-30,polarnopyret
60290526,unisex,"Underkläder & Nattplagg
(292)",199,92,polarnopyret
60400289,unisex,"Underkläder & Nattplagg
(292)",49,16-18,polarnopyret
60420145,unisex,"Underkläder & Nattplagg
(292)",149,31-33,polarnopyret
60290284,unisex,"Underkläder & Nattplagg
(292)",99,22-24,polarnopyret
60390452,unisex,"Underkläder & Nattplagg
(292)",79,110-116,polarnopyret
60420143,unisex,"Underkläder & Nattplagg
(292)",99,28-30,polarnopyret
60420161,unisex,"Underkläder & Nattplagg
(292)",99,28-30,polarnopyret
60419892,unisex,"Underkläder & Nattplagg
(292)",299,146-152,polarnopyret
60420179,unisex,"Underkläder & Nattplagg
(292)",79,13-15,polarnopyret
60400614,unisex,"Underkläder & Nattplagg
(292)",50,146-152,polarnopyret
60290287,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60381226,unisex,"Underkläder & Nattplagg
(292)",149,22-24,polarnopyret
60404918,unisex,"Underkläder & Nattplagg
(292)",99,110-116,polarnopyret
60420132,unisex,"Underkläder & Nattplagg
(292)",49,16-18,polarnopyret
60419826,unisex,"Underkläder & Nattplagg
(292)",299,98-104,polarnopyret
60420085,unisex,"Underkläder & Nattplagg
(292)",99,110-116,polarnopyret
60420085,unisex,"Underkläder & Nattplagg
(292)",99,110-116,polarnopyret
60420171,unisex,"Underkläder & Nattplagg
(292)",99,40-42,polarnopyret
60419791,unisex,"Underkläder & Nattplagg
(292)",349,110-116,polarnopyret
60420247,unisex,"Underkläder & Nattplagg
(292)",149,86-92,polarnopyret
60420190,unisex,"Underkläder & Nattplagg
(292)",79,13-15,polarnopyret
